t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
195,0.0,1.6816989055870812,0,0,0,0.41846776008605957,0.7172344923019409,0.0017604682361707091,none
196,0.0,1.6816989055870812,0,0,0,0.47350695729255676,0.7802156209945679,0.002049861941486597,none
197,1.2350824107244456,1.6816989055870812,0,0,0,0.4642208218574524,1.1323158740997314,0.00202579190954566,none
198,0.0,1.6816989055870812,0,0,0,0.5708422064781189,0.5275415182113647,0.001803959021344781,none
199,0.0,1.6816989055870812,0,0,0,0.4063032865524292,0.7611526250839233,0.002027702983468771,none
200,1.5000574751910623,1.6816989055870812,0,0,0,0.49051132798194885,1.182447910308838,0.0013942500809207559,none
201,0.0,1.6816989055870812,0,0,0,0.4430125951766968,0.7039461731910706,0.0014674486592411995,none
202,0.0,1.6816989055870812,0,0,0,0.42999663949012756,0.8312785625457764,0.0021734358742833138,none
203,0.0,1.6816989055870812,0,0,0,0.4610033631324768,0.8602567911148071,0.0015450051287189126,none
204,1.871991511542268,1.6816989055870812,0,0,0,0.4090768098831177,1.252816081047058,0.0018126174109056592,none
205,0.46502891312193884,1.6816989055870812,0,0,0,0.41907772421836853,0.9866253733634949,0.0014147399924695492,none
206,0.0,1.6816989055870812,0,0,0,0.44621309638023376,0.8557740449905396,0.0013031885027885437,none
207,0.0,1.6816989055870812,0,0,0,0.5068958401679993,0.6056809425354004,0.001788694178685546,none
208,0.0,1.6816989055870812,0,0,0,0.43395039439201355,0.8618013262748718,0.0019496700260788202,none
209,0.0,1.6816989055870812,0,0,0,0.43657681345939636,0.8212803602218628,0.0021460300777107477,none
210,0.0,1.6816989055870812,0,0,0,0.4266131818294525,0.6558772325515747,0.0015256735496222973,none
211,0.0,1.6816989055870812,0,0,0,0.44523006677627563,0.7390591502189636,0.0016253733774647117,none
212,2.4022913381503344,1.6816989055870812,0,0,0,0.4836421310901642,1.3531463146209717,0.0023032817989587784,none
213,0.6409945777973146,1.6816989055870812,0,0,0,0.4457395374774933,1.0199172496795654,0.001961626810953021,none
214,0.00921028065202376,1.6816989055870812,0,0,0,0.3783266246318817,0.9003866314888,0.00222377828322351,none
215,0.3813509851786268,1.6816989055870812,0,0,0,0.3881252706050873,0.9707939028739929,0.0024823094718158245,none
216,0.0,1.6816989055870812,0,0,0,0.4139902889728546,0.857679009437561,0.0022907189559191465,none
217,0.24253613033149113,1.6816989055870812,0,0,0,0.4081227481365204,0.9445307850837708,0.0021552087273448706,none
218,0.0,1.6816989055870812,0,0,0,0.4922453761100769,0.6718911528587341,0.001778700272552669,none
